序号,推进批次,城市,区县,医院名称,医院别名,医院等级,医院类型,官网首页_候选,官网标题_自动识别,医生目录入口_候选,入口类型_自动判断,是否可按科室_初判,是否可全院采集_初判,采集难度_初判,官方确认状态,自动置信度,检索关键词,搜索依据链接,排除或注意事项,下一步动作,人工复核结果,人工备注,更新时间
49,1,广州市,荔湾区,广州市脑科医院荔湾门诊部,广州市脑科医院荔湾门诊部,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州市脑科医院荔湾门诊部 官方网站 官网 / 广州市脑科医院荔湾门诊部 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
50,1,广州市,花都区,广州市花都区人民医院,广州市花都区人民医院,三级甲等,综合医院,https://www.hdhosp.com/yygk/yyjj.htm,医院简介-暨南大学附属广州医院（广州市花都区人民医院）,https://www.hdhosp.com/jyzn/xzys.htm,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,广州市花都区人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E5%B8%82%E8%8A%B1%E9%83%BD%E5%8C%BA%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：寻找医生,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
51,1,广州市,荔湾区,广州市荔湾中心医院,广州医学院荔湾医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州市荔湾中心医院 官方网站 官网 / 广州市荔湾中心医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
52,1,广州市,黄埔区,广州武警医院,武警部队广东省总队医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州武警医院 官方网站 官网 / 广州武警医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E6%AD%A6%E8%AD%A6%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
53,1,广州市,海珠区,广州红十字会医院,暨南大学医学院第四附属医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州红十字会医院 官方网站 官网 / 广州红十字会医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E7%BA%A2%E5%8D%81%E5%AD%97%E4%BC%9A%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
54,1,广州市,天河区,暨南大学附属第一医院,广州华侨医院,三级甲等,综合医院,https://faculty.jnu.edu.cn/lcyxy/qb/list.psp,第一临床医学院（附属第一医院）,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,暨南大学附属第一医院 官方网站 官网 / 暨南大学附属第一医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E6%9A%A8%E5%8D%97%E5%A4%A7%E5%AD%A6%E9%99%84%E5%B1%9E%E7%AC%AC%E4%B8%80%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
55,1,广州市,天河区,武警广东总队医院,"武警广东总队医院,武警医院",三级甲等,综合医院,http://wjyy.gdkrinfo.com/,武警广东总队医院,,,,,C-仅官网待找入口,已找到官网-待补医生入口,高,武警广东总队医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%AD%A6%E8%AD%A6%E5%B9%BF%E4%B8%9C%E6%80%BB%E9%98%9F%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
56,1,广州市,海珠区,龙凤街将军直社区卫生服务站,龙凤街将军直社区卫生服务站,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,龙凤街将军直社区卫生服务站 官方网站 官网 / 龙凤街将军直社区卫生服务站 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
57,2,深圳市,罗湖区,中国人民武装警察边防部队总医院,深圳武警边防医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,中国人民武装警察边防部队总医院 官方网站 官网 / 中国人民武装警察边防部队总医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E6%AD%A6%E8%A3%85%E8%AD%A6%E5%AF%9F%E8%BE%B9%E9%98%B2%E9%83%A8%E9%98%9F%E6%80%BB%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
58,2,深圳市,福田区,北京大学深圳医院,深圳市中心医院,三级甲等,综合医院,https://www.pkuszh.com.cn/,北京大学深圳医院,https://www.pkuszh.com.cn/hzb_ksdh,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,高,北京大学深圳医院 官方网站 官网 / 北京大学深圳医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%8C%97%E4%BA%AC%E5%A4%A7%E5%AD%A6%E6%B7%B1%E5%9C%B3%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
59,2,深圳市,南山区,华中科技大学协和深圳医院,深圳市南山区人民医院(深圳市第六人民医院),三级甲等,综合医院,https://www.nsqyljtzb.cn/Category_27/Index.aspx,南山区医疗集团总部,https://www.nsqyljtzb.cn/Category_20/Index.aspx,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,华中科技大学协和深圳医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%8D%8E%E4%B8%AD%E7%A7%91%E6%8A%80%E5%A4%A7%E5%AD%A6%E5%8D%8F%E5%92%8C%E6%B7%B1%E5%9C%B3%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：名医专家,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
60,2,深圳市,罗湖区,深圳大学第三附属医院,深圳市罗湖区人民医院,三级甲等,综合医院,https://www.szlhyy.com.cn/ksjs/lcks/zlmyk.htm,肿瘤免疫科-罗湖区人民医院,https://www.szlhyy.com.cn/ksjs/lcks/zlmyk.htm,疑似医生入口,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,深圳大学第三附属医院 官方网站 官网 / 深圳大学第三附属医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%A4%A7%E5%AD%A6%E7%AC%AC%E4%B8%89%E9%99%84%E5%B1%9E%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
61,2,深圳市,福田区,深圳市中医院,深圳市中医院,三级甲等,综合医院,https://www.szszyy.cn/,深圳市中医院,https://www.szszyy.cn/ProvinceDoctor/list.aspx,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,深圳市中医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：省名中医 省名中医19位（按称号获批年份及姓氏笔画排序）,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
62,2,深圳市,罗湖区,深圳市人民医院,深圳市人民医院,三级甲等,综合医院,https://www.szhospital.com/,深圳市人民医院门户网站,https://www.szhospital.com/?fid=A004&mnuid=5&type_code=A04,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,深圳市人民医院 官方网站 官网 / 深圳市人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,入口锚文本：专家出诊,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
63,2,深圳市,福田区,深圳市儿童医院,深圳市儿童医院,三级甲等,专科医院,http://www.szkid.com.cn/yygk/yyjj/,医院简介-深圳市儿童医院,http://www.szkid.com.cn/jyfw/zjjs/index.html,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,深圳市儿童医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%84%BF%E7%AB%A5%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家介绍,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
64,2,深圳市,南山区,深圳市南山人民医院,华中科技大学协和深圳医院,三级甲等,综合医院,https://www.sz.gov.cn/hospital/ns/hzkjdxxhszfy/content/post_9368260.html,深圳市南山区人民医院--深圳市南山区人民医院,,,,,C-仅官网待找入口,已找到官网-待补医生入口,低,深圳市南山人民医院 官方网站 官网 / 深圳市南山人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%8D%97%E5%B1%B1%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,官网候选可能来自政府/行业信息页，需重点核验,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
65,2,深圳市,福田区,深圳市妇幼保健院,深圳市妇幼保健院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,深圳市妇幼保健院 官方网站 官网 / 深圳市妇幼保健院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
66,2,深圳市,罗湖区,深圳市孙逸仙心血管医院,深圳市孙逸仙心血管医院,三级甲等,专科医院,https://www.fuwaisz.cn/public/,公众-中国医学科学院阜外医院深圳医院（深圳市孙逸仙心血管医院）,https://www.fuwaisz.cn/public/yhtd/ksjs/xxgnk/mz/index.html,疑似医生入口,可能,待确认,A-优先自动采集,自动候选-待人工复核,高,深圳市孙逸仙心血管医院 官方网站 官网,https://html.duckduckgo.com/html/?q=site%3Afuwaisz.cn%20%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%AD%99%E9%80%B8%E4%BB%99%E5%BF%83%E8%A1%80%E7%AE%A1%E5%8C%BB%E9%99%A2%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
67,2,深圳市,宝安区,深圳市宝安区中医院,深圳市宝安区中医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,深圳市宝安区中医院 官方网站 官网 / 深圳市宝安区中医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
68,2,深圳市,宝安区,深圳市宝安区人民医院,深圳市深圳宝安医院,三级甲等,综合医院,https://med.szu.edu.cn/baqrmyy,深圳市宝安区人民医院,,,,,C-仅官网待找入口,已找到官网-待补医生入口,高,深圳市宝安区人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%AE%9D%E5%AE%89%E5%8C%BA%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
69,2,深圳市,宝安区,深圳市宝安区妇幼保健院,深圳市宝安区妇幼保健院,三级甲等,专科医院,https://www.bawjxt.net/baqfybjy/ylts/zjjs/,专家介绍 - 深圳市宝安区妇幼保健院,https://www.bawjxt.net/baqfybjy/ylts/zjjs/,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,深圳市宝安区妇幼保健院 官方网站 官网 / 深圳市宝安区妇幼保健院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E5%AE%9D%E5%AE%89%E5%8C%BA%E5%A6%87%E5%B9%BC%E4%BF%9D%E5%81%A5%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
70,2,深圳市,福田区,深圳市福田区中医院,广州中医药大学深圳医院,三级甲等,综合医院,https://www.szftzy.cn/,广州中医药大学深圳医院（福田）,,,,,C-仅官网待找入口,已找到官网-待补医生入口,高,深圳市福田区中医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E7%A6%8F%E7%94%B0%E5%8C%BA%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
71,2,深圳市,罗湖区,深圳市第三人民医院,"深圳市东湖医院,深圳市传染病医院,广东医学院附属深圳第三医院,深圳市肝病研究院",三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,深圳市第三人民医院 官方网站 官网 / 深圳市第三人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
72,2,深圳市,福田区,深圳市第二人民医院,深圳市第二人民医院,三级甲等,综合医院,https://www.szrch.com.cn/,深圳市第二人民医院（深圳大学第一附属医院）,,,,,C-仅官网待找入口,已找到官网-待补医生入口,高,深圳市第二人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E7%AC%AC%E4%BA%8C%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
73,2,深圳市,龙岗区,深圳市龙岗中心医院,深圳市第九人民医院,三级甲等,综合医院,https://www.szlgzxyy.com/yygk/yyjj,医院简介_医院概况_深圳市龙岗中心医院,https://www.szlgzxyy.com/ksdh,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,中,深圳市龙岗中心医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E9%BE%99%E5%B2%97%E4%B8%AD%E5%BF%83%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
74,2,深圳市,龙岗区,深圳市龙岗区人民医院,深圳市龙岗区人民医院,三级甲等,综合医院,https://www.sz.gov.cn/hospital/lgyy/qrmyy/content/post_12505400.html,深圳市龙岗区人民医院--龙岗区人民医院,,,,,C-仅官网待找入口,已找到官网-待补医生入口,低,深圳市龙岗区人民医院 官方网站 官网 / 深圳市龙岗区人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B8%82%E9%BE%99%E5%B2%97%E5%8C%BA%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,官网候选可能来自政府/行业信息页，需重点核验,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
75,2,深圳市,罗湖区,深圳平乐骨伤科医院,深圳平乐骨伤科医院,三级甲等,专科医院,http://www.pingchuangyl.com/yiyuans/szplgskyy.html,深圳平乐骨伤科医院,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,深圳平乐骨伤科医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E6%B7%B1%E5%9C%B3%E5%B9%B3%E4%B9%90%E9%AA%A8%E4%BC%A4%E7%A7%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
76,2,深圳市,罗湖区,深圳康宁医院,深圳精神卫生中心,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,深圳康宁医院 官方网站 官网 / 深圳康宁医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
77,2,深圳市,龙岗区,深圳龙城医院,深圳龙城医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,深圳龙城医院 官方网站 官网 / 深圳龙城医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
78,2,深圳市,罗湖区,罗湖区人民医院春风院区,罗湖区人民医院春风院区,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,罗湖区人民医院春风院区 官方网站 官网 / 罗湖区人民医院春风院区 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
79,3,佛山市,禅城区,佛山复星禅诚医院,佛山复星禅诚医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,佛山复星禅诚医院 官方网站 官网 / 佛山复星禅诚医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
80,3,佛山市,三水区,佛山市三水区人民医院,广东医学院附属三水医院,三级甲等,综合医院,https://www.sshospital.cn/html/YiYuanGaiKuang/gaikuang/,佛山市三水区人民医院-医院概况,https://www.sshospital.cn/html/YiYuanGaiKuang/YiShengShouJi_1163.html,医生目录,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,佛山市三水区人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E4%B8%89%E6%B0%B4%E5%8C%BA%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：医生手记,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
81,3,佛山市,禅城区,佛山市中医院,佛山市中医院,三级甲等,综合医院,https://www.fshtcm.com.cn/,佛山市中医院,https://www.fshtcm.com.cn/zyy2023/ksdh/,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,高,佛山市中医院 官方网站 官网 / 佛山市中医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
82,3,佛山市,南海区,佛山市南海区中医院,广州中医药大学附属广东中西医结合医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,佛山市南海区中医院 官方网站 官网 / 佛山市南海区中医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E5%8D%97%E6%B5%B7%E5%8C%BA%E4%B8%AD%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
83,3,佛山市,南海区,佛山市南海区人民医院,佛山市南海区人民医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,佛山市南海区人民医院 官方网站 官网 / 佛山市南海区人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
84,3,佛山市,禅城区,佛山市南海区人民医院,南方医科大学附属南海医院,三级甲等,综合医院,https://www.nhrmyy.com/Index.html,华南理工大学附属第六医院(佛山市南海区人民医院),https://www.nhrmyy.com/ylfw/Experts/,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,佛山市南海区人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E5%8D%97%E6%B5%B7%E5%8C%BA%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家介绍,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
85,3,佛山市,南海区,佛山市南海区妇幼保健院,佛山市南海区妇幼保健院,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,佛山市南海区妇幼保健院 官方网站 官网 / 佛山市南海区妇幼保健院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
86,3,佛山市,禅城区,佛山市妇幼保健院,广东省妇幼保健院佛山分院,三级甲等,专科医院,http://8.134.116.66:6001/index.html,网站首页-佛山市妇幼保健院,http://8.134.116.66:6001/Node-4.html,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,高,佛山市妇幼保健院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E5%A6%87%E5%B9%BC%E4%BF%9D%E5%81%A5%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：科室介绍departments,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
87,3,佛山市,禅城区,佛山市第一人民医院,佛山市第一人民医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,佛山市第一人民医院 官方网站 官网 / 佛山市第一人民医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
88,3,佛山市,禅城区,佛山市第一人民医院肿瘤医院,佛山市第四人民医院,三级甲等,专科医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,佛山市第一人民医院肿瘤医院 官方网站 官网 / 佛山市第一人民医院肿瘤医院 官网 医生 专家 科室,,,人工补充官网首页,,,2026-08-09
89,3,佛山市,禅城区,佛山市第二人民医院,佛山市第二人民医院,三级甲等,综合医院,https://www.fsey.com/ksdh,科室导航_佛山市第二人民医院,https://www.fsey.com/ksdh,科室导航,是,待确认,B-半自动采集,自动候选-待人工复核,高,佛山市第二人民医院 官方网站 官网 / 佛山市第二人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E7%AC%AC%E4%BA%8C%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
90,3,佛山市,顺德区,佛山市顺德区第一人民医院,南方医科大学顺德医院,三级甲等,综合医院,https://www.sdrmyy.com/,南方医科大学第八附属医院,https://www.sdrmyy.com/a/1567.aspx,专家介绍,可能,待确认,A-优先自动采集,自动候选-待人工复核,中,佛山市顺德区第一人民医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E9%A1%BA%E5%BE%B7%E5%8C%BA%E7%AC%AC%E4%B8%80%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,入口锚文本：专家出诊一览表,人工打开医生入口，确认是否覆盖全院,,,2026-08-09
91,3,佛山市,顺德区,佛山市顺德医院,广州中医药大学顺德医院,三级甲等,综合医院,https://www.sddermyy.com/,暨南大学附属顺德医院-首页,,,,,C-仅官网待找入口,已找到官网-待补医生入口,中,佛山市顺德医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E4%BD%9B%E5%B1%B1%E5%B8%82%E9%A1%BA%E5%BE%B7%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
92,3,佛山市,南海区,南海区第二人民医院,平洲医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,南海区第二人民医院 官方网站 官网 / 南海区第二人民医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%8D%97%E6%B5%B7%E5%8C%BA%E7%AC%AC%E4%BA%8C%E4%BA%BA%E6%B0%91%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
93,3,佛山市,南海区,广东省中西医结合医院,佛山市南海区中医院,三级甲等,综合医院,http://www.nanhai.gov.cn/fsnhq/zwgk/zdlyxxgk/ylfw/yljggk/content/post_1075463.html,广东省中西医结合医院简介 | 佛山市南海区人民政府,,,,,C-仅官网待找入口,已找到官网-待补医生入口,低,广东省中西医结合医院 官方网站 官网,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E4%B8%9C%E7%9C%81%E4%B8%AD%E8%A5%BF%E5%8C%BB%E7%BB%93%E5%90%88%E5%8C%BB%E9%99%A2%20%E5%AE%98%E6%96%B9%E7%BD%91%E7%AB%99%20%E5%AE%98%E7%BD%91,官网候选可能来自政府/行业信息页，需重点核验,人工打开官网首页，查找专家/医生/科室入口,,,2026-08-09
94,3,佛山市,南海区,广东省人民医院平洲分院,广东省人民医院平洲分院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广东省人民医院平洲分院 官方网站 官网 / 广东省人民医院平洲分院 官网 医生 专家 科室,,院区/分院条目需确认是否独立采集,人工补充官网首页,,,2026-08-09
95,3,佛山市,顺德区,广州中医药大学顺德医院,佛山市顺德区中医院,三级甲等,综合医院,,,,,,,D-待人工补官网,未找到-待人工补充,未找到,广州中医药大学顺德医院 官方网站 官网 / 广州中医药大学顺德医院 官网 医生 专家 科室,https://html.duckduckgo.com/html/?q=%E5%B9%BF%E5%B7%9E%E4%B8%AD%E5%8C%BB%E8%8D%AF%E5%A4%A7%E5%AD%A6%E9%A1%BA%E5%BE%B7%E5%8C%BB%E9%99%A2%20%E5%AE%98%E7%BD%91%20%E5%8C%BB%E7%94%9F%20%E4%B8%93%E5%AE%B6%20%E7%A7%91%E5%AE%A4,,人工补充官网首页,,,2026-08-09
